rb 肉
nc 鳥
nd 釀
ng 能
nh 囊
nj 男
nk 鬧
nl 耐
nm 年
nn 您
no 諾
pj 盤
pl 排
sb 搜
pc 飄
pf 噴
pg 碰
ph 胖
pm 篇
pn 品
sp 孫
ro 若
rk 繞
sl 賽
zo 做
xp 尋
tb 頭
qc 巧
qd 強
qp 群
tm 天
qm 前
qn 親
tp 吞
so 所
sk 掃
tl 太
zo 桌
yp 暈
rj 然
oj 按
ya 呀
rv 瑞
rf 人
rg 仍
xn 新
to 拖
tk 逃
wl 外
io 戳
zp 尊
sj 三
or 兒
za 咋
sv 隨
sf 森
sg 僧
sh 桑
yn 印
vd 裝
vy 拽
xt 學
uo 說
vp 準
tj 談
tc 條
va 炸
tv 退
xm 先
tg 疼
th 糖
ys 用
id 床
qq 球
yt 月
ni 你
ip 純
wj 玩
wz 為
ia 差
zv 最
wf 問
oh 昂
wh 網
zs 總
ud 爽
uy 帥
oa 啊
pi 屁
up 順
xr 選
xc 小
ua 啥
vv 追
ss 送
of 恩
tx 鐵
vs 中
ok 奧
ol 唉
oe 額
qi 其
nu 怒
yr 元
nr 暖
zb 走
uv 垂
ts 痛
ob 偶
yh 養
is 重
yj 言
yk 要
oo 哦
ri 日
pu 鋪
zr 鑽
xq 修
vb 周
uv 誰
zf 怎
zg 曾
zh 髒
pz 陪
zj 咱
zk 早
zl 在
si 四
ru 如
vr 轉
qr 全
ib 抽
nt 虐
vf 真
vg 正
vh 章
vw 抓
vj 展
vk 找
vl 宅
ti 題
su 素
ir 穿
rr 軟
ub 收
xi 西
if 陳
ig 程
ih 長
rs 冗
ij 產
ik 超
il 柴
na 那
tu 圖
ur 栓
sr 算
nq 牛
yi 一
uf 深
ug 省
uh 上
uw 刷
uj 山
uk 少
ul 曬
pa 怕
wu 五
vu 住
tr 團
ns 弄
zi 字
xs 熊
xw 下
xx 寫
nx 捏
ye 也
re 熱
ne 呢
sa 薩
xu 許
iu 出
ie 車
ii 吃
vi 只
qt 卻
qs 瓊
qw 掐
px 撇
ze 則
se 色
zu 組
ta 他
yu 與
uu 書
ue 設
ui 是
wa 哇
qx 切
ve 這
